"Title-module__anchor--GmXUE href","Title-module__anchor--GmXUE","ReposListItem-module__Label_2--Z6b0K","Text__StyledText-sc-1klmep6-0","ReposListItem-module__Text_4--mkG7R","ReposListItem-module__Link_1--v5NDF","ReposListItem-module__Link_1--v5NDF href","ReposListItem-module__Link_1--v5NDF 2","ReposListItem-module__Link_1--v5NDF href 2","ReposListItem-module__Box_6--KXqca 3","ReposListItem-module__Link_1--v5NDF 3","ReposListItem-module__Link_1--v5NDF href 3"
"https://github.com/frappe/changemakers","changemakers","Public","Beneficiary Management Platform, built on Frappe Framework.","Vue","50","https://github.com/frappe/changemakers/forks","87","https://github.com/frappe/changemakers/stargazers","•","0","https://github.com/frappe/changemakers/pulls"
"https://github.com/frappe/twilio-integration","twilio-integration","Public","Twilio integration for ERPNext","Python","99","https://github.com/frappe/twilio-integration/forks","74","https://github.com/frappe/twilio-integration/stargazers","•","7","https://github.com/frappe/twilio-integration/pulls"
"https://github.com/frappe/waba_integration","waba_integration","Public","WhatsApp Bussiness Cloud API integration for Frappe","Python","109","https://github.com/frappe/waba_integration/forks","64","https://github.com/frappe/waba_integration/stargazers","•","3","https://github.com/frappe/waba_integration/pulls"
"https://github.com/frappe/KSA","KSA","Public","KSA Compliance app","Python","68","https://github.com/frappe/KSA/forks","2","https://github.com/frappe/KSA/stargazers","•","2","https://github.com/frappe/KSA/pulls"
"https://github.com/frappe/bhumi-awards-portal","bhumi-awards-portal","Public","Awards Portal web app for Bhumi NGO.","HTML","13","https://github.com/frappe/bhumi-awards-portal/forks","6","https://github.com/frappe/bhumi-awards-portal/stargazers","•","0","https://github.com/frappe/bhumi-awards-portal/pulls"
"https://github.com/frappe/chat","chat","Public archive","Modern Chat App for Frappe","JavaScript","154","https://github.com/frappe/chat/forks","117","https://github.com/frappe/chat/stargazers","•","2","https://github.com/frappe/chat/pulls"
"https://github.com/frappe/erpnext_ksa","erpnext_ksa","Public","","Python","21","https://github.com/frappe/erpnext_ksa/forks","10","https://github.com/frappe/erpnext_ksa/stargazers","•","1","https://github.com/frappe/erpnext_ksa/pulls"
"https://github.com/frappe/event_streaming","event_streaming","Public archive","Event Streaming for frappe","Python","42","https://github.com/frappe/event_streaming/forks","31","https://github.com/frappe/event_streaming/stargazers","•","0","https://github.com/frappe/event_streaming/pulls"
"https://github.com/frappe/charts-playground","charts-playground","Public","Playground from Frappe Charts","Vue","16","https://github.com/frappe/charts-playground/forks","2","https://github.com/frappe/charts-playground/stargazers","•","21","https://github.com/frappe/charts-playground/pulls"
"https://github.com/frappe/india_payroll","india_payroll","Public archive","","Python","6","https://github.com/frappe/india_payroll/forks","3","https://github.com/frappe/india_payroll/stargazers","•","0","https://github.com/frappe/india_payroll/pulls"
"https://github.com/frappe/frappe-ui-rn","frappe-ui-rn","Public","frappe-ui-rn","TypeScript","8","https://github.com/frappe/frappe-ui-rn/forks","9","https://github.com/frappe/frappe-ui-rn/stargazers","•","0","https://github.com/frappe/frappe-ui-rn/pulls"
"https://github.com/frappe/changemakers_mobile","changemakers_mobile","Public","changemakers_mobile","TypeScript","8","https://github.com/frappe/changemakers_mobile/forks","2","https://github.com/frappe/changemakers_mobile/stargazers","•","0","https://github.com/frappe/changemakers_mobile/pulls"
"https://github.com/frappe/black","black","Public archive","Python black with tabs","Python","2.7k","https://github.com/frappe/black/forks","5","https://github.com/frappe/black/stargazers","•","6","https://github.com/frappe/black/pulls"
"https://github.com/frappe/panoptic","panoptic","Public","Frappe App for Project Panoptic","HTML","17","https://github.com/frappe/panoptic/forks","19","https://github.com/frappe/panoptic/stargazers","•","0","https://github.com/frappe/panoptic/pulls"
"https://github.com/frappe/hospitality","hospitality","Public archive","Hospitality app for ERPNext to manage hotels & restaurants.","Python","91","https://github.com/frappe/hospitality/forks","53","https://github.com/frappe/hospitality/stargazers","•","0","https://github.com/frappe/hospitality/pulls"
"https://github.com/frappe/storage_integration","storage_integration","Public archive","","Python","34","https://github.com/frappe/storage_integration/forks","23","https://github.com/frappe/storage_integration/stargazers","•","1","https://github.com/frappe/storage_integration/pulls"
"https://github.com/frappe/pesa","pesa","Public","A JS money lib whose precision goes up to 11 (and beyond).","TypeScript","17","https://github.com/frappe/pesa/forks","47","https://github.com/frappe/pesa/stargazers","•","0","https://github.com/frappe/pesa/pulls"
"https://github.com/frappe/books-website","books-website","Public","Website for Frappe Books","Vue","28","https://github.com/frappe/books-website/forks","7","https://github.com/frappe/books-website/stargazers","•","24","https://github.com/frappe/books-website/pulls"
"https://github.com/frappe/erpnext_ui_tests","erpnext_ui_tests","Public","This repository contains Integration tests for ERPNext features written in Cypress. These tests are run on GitHub Actions via cron every day.","JavaScript","19","https://github.com/frappe/erpnext_ui_tests/forks","16","https://github.com/frappe/erpnext_ui_tests/stargazers","•","1","https://github.com/frappe/erpnext_ui_tests/pulls"
"https://github.com/frappe/easy_install","easy_install","Public","Install script for Frappe.  This is DEPRECATED and unmaintained.","Python","10","https://github.com/frappe/easy_install/forks","7","https://github.com/frappe/easy_install/stargazers","•","0","https://github.com/frappe/easy_install/pulls"
"https://github.com/frappe/bench_manager","bench_manager","Public archive","Frappe app for managing bench","Python","126","https://github.com/frappe/bench_manager/forks","73","https://github.com/frappe/bench_manager/stargazers","•","0","https://github.com/frappe/bench_manager/pulls"
"https://github.com/frappe/nextcloud-integration","nextcloud-integration","Public archive","Frappe App for NextCloud Integration","Python","65","https://github.com/frappe/nextcloud-integration/forks","50","https://github.com/frappe/nextcloud-integration/stargazers","•","1","https://github.com/frappe/nextcloud-integration/pulls"
"https://github.com/frappe/design","design","Public","🎨 Elements and source files of design resources used in products of frappe technologies","HTML","39","https://github.com/frappe/design/forks","35","https://github.com/frappe/design/stargazers","•","1","https://github.com/frappe/design/pulls"
"https://github.com/frappe/frappejs","frappejs","Public archive","Node + Electron + Vue based metadata web framework (inspired by Frappe)","JavaScript","115","https://github.com/frappe/frappejs/forks","264","https://github.com/frappe/frappejs/stargazers","•","14","https://github.com/frappe/frappejs/pulls"
"https://github.com/frappe/iff","iff","Public","Membership automation for the Internet Freedom Foundation ❤️","Python","11","https://github.com/frappe/iff/forks","11","https://github.com/frappe/iff/stargazers","•","0","https://github.com/frappe/iff/pulls"
"https://github.com/frappe/pyngrok","pyngrok","Public","A Python wrapper for ngrok","Python","58","https://github.com/frappe/pyngrok/forks","1","https://github.com/frappe/pyngrok/stargazers","•","0","https://github.com/frappe/pyngrok/pulls"
"https://github.com/frappe/assets","assets","Public","Asset Management app for ERPNext","Python","27","https://github.com/frappe/assets/forks","16","https://github.com/frappe/assets/stargazers","•","0","https://github.com/frappe/assets/pulls"
"https://github.com/frappe/esbuild-plugin-postcss2","esbuild-plugin-postcss2","Public","Use postcss with esbuild","TypeScript","19","https://github.com/frappe/esbuild-plugin-postcss2/forks","0","https://github.com/frappe/esbuild-plugin-postcss2/stargazers","•","0","https://github.com/frappe/esbuild-plugin-postcss2/pulls"
"https://github.com/frappe/test-orchestrator","test-orchestrator","Public","Basic Unit Test Orchestrator","JavaScript","6","https://github.com/frappe/test-orchestrator/forks","4","https://github.com/frappe/test-orchestrator/stargazers","•","0","https://github.com/frappe/test-orchestrator/pulls"
"https://github.com/frappe/translator","translator","Public","Translation Portal for Frappe","Python","59","https://github.com/frappe/translator/forks","31","https://github.com/frappe/translator/stargazers","•","1","https://github.com/frappe/translator/pulls"
"https://github.com/frappe/erpnext_usa","erpnext_usa","Public","","Python","10","https://github.com/frappe/erpnext_usa/forks","6","https://github.com/frappe/erpnext_usa/stargazers","•","0","https://github.com/frappe/erpnext_usa/pulls"
"https://github.com/frappe/erpnext_uae","erpnext_uae","Public","","Python","15","https://github.com/frappe/erpnext_uae/forks","4","https://github.com/frappe/erpnext_uae/stargazers","•","0","https://github.com/frappe/erpnext_uae/pulls"
"https://github.com/frappe/erpnext_south_africa","erpnext_south_africa","Public","","Python","10","https://github.com/frappe/erpnext_south_africa/forks","3","https://github.com/frappe/erpnext_south_africa/stargazers","•","0","https://github.com/frappe/erpnext_south_africa/pulls"
"https://github.com/frappe/erpnext_france","erpnext_france","Public","","Python","8","https://github.com/frappe/erpnext_france/forks","4","https://github.com/frappe/erpnext_france/stargazers","•","1","https://github.com/frappe/erpnext_france/pulls"
"https://github.com/frappe/erpnext_italy","erpnext_italy","Public","","Python","7","https://github.com/frappe/erpnext_italy/forks","4","https://github.com/frappe/erpnext_italy/stargazers","•","1","https://github.com/frappe/erpnext_italy/pulls"
"https://github.com/frappe/mobile","mobile","Public archive","Mobile App for Frappe built on Flutter","Dart","258","https://github.com/frappe/mobile/forks","259","https://github.com/frappe/mobile/stargazers","•","0","https://github.com/frappe/mobile/pulls"
"https://github.com/frappe/erpnext_gst_compliance","erpnext_gst_compliance","Public archive","Manage GST Compliance for ERPNext","Python","30","https://github.com/frappe/erpnext_gst_compliance/forks","14","https://github.com/frappe/erpnext_gst_compliance/stargazers","•","0","https://github.com/frappe/erpnext_gst_compliance/pulls"
"https://github.com/frappe/frappe_docs","frappe_docs","Public archive","[DEPRECATED] Frappe Framework Documentation. Please don't raise new contributions here.","Python","99","https://github.com/frappe/frappe_docs/forks","46","https://github.com/frappe/frappe_docs/stargazers","•","0","https://github.com/frappe/frappe_docs/pulls"
"https://github.com/frappe/frappe_theme","frappe_theme","Public","Theme for Frappe sites","JavaScript","72","https://github.com/frappe/frappe_theme/forks","43","https://github.com/frappe/frappe_theme/stargazers","•","1","https://github.com/frappe/frappe_theme/pulls"
"https://github.com/frappe/chart_of_accounts_builder","chart_of_accounts_builder","Public","","Python","39","https://github.com/frappe/chart_of_accounts_builder/forks","15","https://github.com/frappe/chart_of_accounts_builder/stargazers","•","2","https://github.com/frappe/chart_of_accounts_builder/pulls"
"https://github.com/frappe/frappebooks_com","frappebooks_com","Public","Website for frappebooks.com","HTML","12","https://github.com/frappe/frappebooks_com/forks","2","https://github.com/frappe/frappebooks_com/stargazers","•","6","https://github.com/frappe/frappebooks_com/pulls"
"https://github.com/frappe/backport","backport","Public archive","backport automation @ frappe","JavaScript","7","https://github.com/frappe/backport/forks","4","https://github.com/frappe/backport/stargazers","•","0","https://github.com/frappe/backport/pulls"
